cell_id,neighborhood_id,district_id,quarter_id,x,y,population,zoning_type,avg_household_income,residential_units,commercial_units,park_pct
SW-C-B-B,SW-C-B,SW-C,SW,3,4,1596,Industrial,61818,319,5,0.066
SW-D-A-A,SW-D-A,SW-D,SW,4,4,1202,Industrial,47509,240,9,0.171
SW-D-A-B,SW-D-A,SW-D,SW,5,4,1749,Industrial,61858,349,11,0.096
SW-D-B-A,SW-D-B,SW-D,SW,6,4,2446,Mixed,51511,978,151,0.114
SW-D-B-B,SW-D-B,SW-D,SW,7,4,981,Commercial,55916,196,147,0.125
SE-C-A-A,SE-C-A,SE-C,SE,8,4,3028,Residential,78568,1211,24,0.015
SE-C-A-B,SE-C-A,SE-C,SE,9,4,142,Park,59995,28,29,0.87
SE-C-B-A,SE-C-B,SE-C,SE,10,4,4560,Mixed,70563,1824,234,0.046
SE-C-B-B,SE-C-B,SE-C,SE,11,4,2105,Mixed,50932,842,238,0.031
SE-D-A-A,SE-D-A,SE-D,SE,12,4,4239,Commercial,70131,847,179,0.138
SE-D-A-B,SE-D-A,SE-D,SE,13,4,3572,Industrial,85243,714,20,0.168
SE-D-B-A,SE-D-B,SE-D,SE,14,4,3731,Residential,37276,1492,19,0.075
SE-D-B-B,SE-D-B,SE-D,SE,15,4,2686,Commercial,73206,537,174,0.162
SW-C-A-C,SW-C-A,SW-C,SW,0,5,1540,Industrial,50162,308,21,0.028
SW-C-A-D,SW-C-A,SW-C,SW,1,5,1630,Industrial,55998,326,12,0.069
SW-C-B-C,SW-C-B,SW-C,SW,2,5,2288,Mixed,42051,915,109,0.086
SW-C-B-D,SW-C-B,SW-C,SW,3,5,1406,Industrial,58631,281,31,0.171
SW-D-A-C,SW-D-A,SW-D,SW,4,5,1732,Industrial,66621,346,4,0.106
SW-D-A-D,SW-D-A,SW-D,SW,5,5,1125,Industrial,48863,225,4,0.149
SW-D-B-C,SW-D-B,SW-D,SW,6,5,649,Industrial,35189,129,0,0.165
SW-D-B-D,SW-D-B,SW-D,SW,7,5,125,Park,36697,25,12,0.902
SE-C-A-C,SE-C-A,SE-C,SE,8,5,2775,Residential,67890,1110,26,0.12
SE-C-A-D,SE-C-A,SE-C,SE,9,5,3324,Mixed,72401,1329,249,0.005
SE-C-B-C,SE-C-B,SE-C,SE,10,5,2565,Mixed,58305,1026,207,0.164
SE-C-B-D,SE-C-B,SE-C,SE,11,5,3669,Residential,57012,1467,7,0.009
SE-D-A-C,SE-D-A,SE-D,SE,12,5,1406,Residential,41552,562,11,0.01
SE-D-A-D,SE-D-A,SE-D,SE,13,5,3874,Mixed,56726,1549,216,0.126
SE-D-B-C,SE-D-B,SE-D,SE,14,5,4394,Residential,59962,1757,27,0.134
SE-D-B-D,SE-D-B,SE-D,SE,15,5,3282,Residential,48439,1312,20,0.132
SW-C-C-A,SW-C-C,SW-C,SW,0,6,867,Industrial,45135,173,20,0.11
SW-C-C-B,SW-C-C,SW-C,SW,1,6,1635,Residential,39675,654,39,0.159
SW-C-D-A,SW-C-D,SW-C,SW,2,6,301,Residential,55426,120,30,0.176
SW-C-D-B,SW-C-D,SW-C,SW,3,6,1007,Industrial,51423,201,7,0.103
SW-D-C-A,SW-D-C,SW-D,SW,4,6,1617,Industrial,58565,323,16,0.126
SW-D-C-B,SW-D-C,SW-D,SW,5,6,1201,Residential,56916,480,23,0.092
SW-D-D-A,SW-D-D,SW-D,SW,6,6,1609,Residential,63608,643,38,0.05
SW-D-D-B,SW-D-D,SW-D,SW,7,6,2045,Industrial,41234,409,5,0.114
SE-C-C-A,SE-C-C,SE-C,SE,8,6,3482,Residential,48499,1392,37,0.057
SE-C-C-B,SE-C-C,SE-C,SE,9,6,2787,Commercial,56602,557,159,0.041
SE-C-D-A,SE-C-D,SE-C,SE,10,6,2334,Mixed,66215,933,150,0.117
SE-C-D-B,SE-C-D,SE-C,SE,11,6,3757,Industrial,55911,751,25,0.078
SE-D-C-A,SE-D-C,SE-D,SE,12,6,3205,Industrial,99965,641,32,0.16
SE-D-C-B,SE-D-C,SE-D,SE,13,6,3722,Industrial,60148,744,29,0.144
SE-D-D-A,SE-D-D,SE-D,SE,14,6,3587,Commercial,48226,717,39,0.013
SE-D-D-B,SE-D-D,SE-D,SE,15,6,4176,Residential,66497,1670,4,0.06
SW-C-C-C,SW-C-C,SW-C,SW,0,7,1214,Industrial,55484,242,36,0.149
SW-C-C-D,SW-C-C,SW-C,SW,1,7,502,Commercial,58910,100,33,0.108
SW-C-D-C,SW-C-D,SW-C,SW,2,7,39,Park,24283,7,3,0.859
SW-C-D-D,SW-C-D,SW-C,SW,3,7,1064,Industrial,51720,212,39,0.07
SW-D-C-C,SW-D-C,SW-D,SW,4,7,1459,Commercial,47311,291,196,0.029
SW-D-C-D,SW-D-C,SW-D,SW,5,7,78,Park,55182,15,21,0.772
SW-D-D-C,SW-D-D,SW-D,SW,6,7,867,Residential,58686,346,20,0.071
SW-D-D-D,SW-D-D,SW-D,SW,7,7,2273,Industrial,49051,454,17,0.084
SE-C-C-C,SE-C-C,SE-C,SE,8,7,2874,Mixed,46883,1149,236,0.042
SE-C-C-D,SE-C-C,SE-C,SE,9,7,3773,Industrial,52918,754,1,0.089
SE-C-D-C,SE-C-D,SE-C,SE,10,7,2492,Mixed,35702,996,217,0.117
SE-C-D-D,SE-C-D,SE-C,SE,11,7,2971,Residential,58612,1188,25,0.066
SE-D-C-C,SE-D-C,SE-D,SE,12,7,3836,Mixed,70939,1534,102,0.138
SE-D-C-D,SE-D-C,SE-D,SE,13,7,5031,Mixed,59693,2012,136,0.106
SE-D-D-C,SE-D-D,SE-D,SE,14,7,2270,Commercial,42332,454,216,0.019
SE-D-D-D,SE-D-D,SE-D,SE,15,7,3136,Mixed,66014,1254,146,0.032
NW-A-A-A,NW-A-A,NW-A,NW,0,8,4920,Residential,80872,1968,24,0.081
NW-A-A-B,NW-A-A,NW-A,NW,1,8,4350,Residential,54622,1740,37,0.05
NW-A-B-A,NW-A-B,NW-A,NW,2,8,278,Park,74278,55,32,0.741
NW-A-B-B,NW-A-B,NW-A,NW,3,8,3997,Commercial,76361,799,166,0.173
NW-B-A-A,NW-B-A,NW-B,NW,4,8,3964,Residential,59134,1585,20,0.079
NW-B-A-B,NW-B-A,NW-B,NW,5,8,282,Park,74825,56,29,0.944
NW-B-B-A,NW-B-B,NW-B,NW,6,8,4399,Commercial,93855,879,170,0.022
NW-B-B-B,NW-B-B,NW-B,NW,7,8,3175,Residential,66916,1270,13,0.177
NE-A-A-A,NE-A-A,NE-A,NE,8,8,3089,Commercial,50625,617,46,0.015
NE-A-A-B,NE-A-A,NE-A,NE,9,8,2046,Mixed,79084,818,204,0.148
NE-A-B-A,NE-A-B,NE-A,NE,10,8,3337,Residential,52860,1334,14,0.122
NE-A-B-B,NE-A-B,NE-A,NE,11,8,1091,Mixed,106158,436,54,0.133
NE-B-A-A,NE-B-A,NE-B,NE,12,8,3656,Commercial,101041,731,52,0.154
NE-B-A-B,NE-B-A,NE-B,NE,13,8,2838,Commercial,101722,567,166,0.005
NE-B-B-A,NE-B-B,NE-B,NE,14,8,2159,Commercial,84709,431,86,0.154
NE-B-B-B,NE-B-B,NE-B,NE,15,8,4733,Commercial,158733,946,82,0.106
NW-A-A-C,NW-A-A,NW-A,NW,0,9,3951,Mixed,68565,1580,220,0.015
NW-A-A-D,NW-A-A,NW-A,NW,1,9,4619,Mixed,54067,1847,71,0.18
NW-A-B-C,NW-A-B,NW-A,NW,2,9,4337,Residential,67952,1734,4,0.18
NW-A-B-D,NW-A-B,NW-A,NW,3,9,3183,Residential,51231,1273,22,0.165
NW-B-A-C,NW-B-A,NW-B,NW,4,9,5678,Residential,69909,2271,3,0.036
NW-B-A-D,NW-B-A,NW-B,NW,5,9,4455,Residential,61571,1782,2,0.062
NW-B-B-C,NW-B-B,NW-B,NW,6,9,3940,Industrial,51696,788,20,0.051
NW-B-B-D,NW-B-B,NW-B,NW,7,9,4134,Residential,51532,1653,21,0.164
NE-A-A-C,NE-A-A,NE-A,NE,8,9,2172,Commercial,30881,434,166,0.054
NE-A-A-D,NE-A-A,NE-A,NE,9,9,1219,Commercial,115895,243,173,0.157
NE-A-B-C,NE-A-B,NE-A,NE,10,9,3262,Mixed,105504,1304,158,0.079
NE-A-B-D,NE-A-B,NE-A,NE,11,9,3550,Commercial,126293,710,202,0.147
NE-B-A-C,NE-B-A,NE-B,NE,12,9,2198,Commercial,84114,439,67,0.018
NE-B-A-D,NE-B-A,NE-B,NE,13,9,2249,Commercial,84380,449,153,0.078
NE-B-B-C,NE-B-B,NE-B,NE,14,9,3942,Residential,38705,1576,11,0.044
NE-B-B-D,NE-B-B,NE-B,NE,15,9,1643,Commercial,72121,328,39,0.056
NW-A-C-A,NW-A-C,NW-A,NW,0,10,4003,Residential,59630,1601,31,0.126
NW-A-C-B,NW-A-C,NW-A,NW,1,10,3471,Residential,78702,1388,2,0.075
NW-A-D-A,NW-A-D,NW-A,NW,2,10,4189,Mixed,80419,1675,65,0.091
NW-A-D-B,NW-A-D,NW-A,NW,3,10,3227,Residential,53238,1290,0,0.141
NW-B-C-A,NW-B-C,NW-B,NW,4,10,3382,Residential,70845,1352,23,0.086
NW-B-C-B,NW-B-C,NW-B,NW,5,10,3461,Residential,89534,1384,9,0.167
NW-B-D-A,NW-B-D,NW-B,NW,6,10,3287,Commercial,58565,657,72,0.009
NW-B-D-B,NW-B-D,NW-B,NW,7,10,4049,Residential,75337,1619,6,0.034
NE-A-C-A,NE-A-C,NE-A,NE,8,10,3768,Commercial,54503,753,134,0.102
NE-A-C-B,NE-A-C,NE-A,NE,9,10,1575,Residential,48504,630,9,0.154
NE-A-D-A,NE-A-D,NE-A,NE,10,10,4957,Mixed,107907,1982,248,0.046
NE-A-D-B,NE-A-D,NE-A,NE,11,10,2440,Commercial,69623,488,218,0.177
NE-B-C-A,NE-B-C,NE-B,NE,12,10,4163,Commercial,71978,832,150,0.108
NE-B-C-B,NE-B-C,NE-B,NE,13,10,4299,Commercial,110884,859,205,0.014
NE-B-D-A,NE-B-D,NE-B,NE,14,10,3208,Residential,50409,1283,28,0.131
NE-B-D-B,NE-B-D,NE-B,NE,15,10,4818,Commercial,138224,963,66,0.16
NW-A-C-C,NW-A-C,NW-A,NW,0,11,5280,Residential,72144,2112,26,0.031
NW-A-C-D,NW-A-C,NW-A,NW,1,11,4248,Residential,56368,1699,27,0.003
NW-A-D-C,NW-A-D,NW-A,NW,2,11,5638,Residential,82730,2255,22,0.158
NW-A-D-D,NW-A-D,NW-A,NW,3,11,4037,Residential,59010,1614,35,0.009
NW-B-C-C,NW-B-C,NW-B,NW,4,11,3199,Commercial,78134,639,244,0.003
NW-B-C-D,NW-B-C,NW-B,NW,5,11,4996,Mixed,84710,1998,213,0.046
NW-B-D-C,NW-B-D,NW-B,NW,6,11,3523,Residential,58995,1409,30,0.131
NW-B-D-D,NW-B-D,NW-B,NW,7,11,406,Park,70413,81,27,0.718
NE-A-C-C,NE-A-C,NE-A,NE,8,11,3060,Mixed,89947,1224,108,0.073
NE-A-C-D,NE-A-C,NE-A,NE,9,11,2046,Commercial,102786,409,144,0.123
NE-A-D-C,NE-A-D,NE-A,NE,10,11,3127,Commercial,66514,625,180,0.155
NE-A-D-D,NE-A-D,NE-A,NE,11,11,3181,Commercial,65948,636,73,0.132
NE-B-C-C,NE-B-C,NE-B,NE,12,11,2834,Commercial,95772,566,49,0.132
NE-B-C-D,NE-B-C,NE-B,NE,13,11,3275,Residential,134035,1310,29,0.163
NE-B-D-C,NE-B-D,NE-B,NE,14,11,1896,Residential,72641,758,0,0.134
NE-B-D-D,NE-B-D,NE-B,NE,15,11,2396,Commercial,142626,479,74,0.129
NW-C-A-A,NW-C-A,NW-C,NW,0,12,4125,Residential,73572,1650,13,0.105
NW-C-A-B,NW-C-A,NW-C,NW,1,12,3634,Mixed,83627,1453,163,0.084
NW-C-B-A,NW-C-B,NW-C,NW,2,12,4926,Residential,72373,1970,30,0.029
NW-C-B-B,NW-C-B,NW-C,NW,3,12,363,Park,48756,72,5,0.647
NW-D-A-A,NW-D-A,NW-D,NW,4,12,3046,Mixed,71299,1218,105,0.036
NW-D-A-B,NW-D-A,NW-D,NW,5,12,3126,Residential,67116,1250,11,0.047
NW-D-B-A,NW-D-B,NW-D,NW,6,12,353,Park,59905,70,9,0.748
NW-D-B-B,NW-D-B,NW-D,NW,7,12,2633,Residential,71852,1053,26,0.138
NE-C-A-A,NE-C-A,NE-C,NE,8,12,221,Park,100638,44,24,0.931
NE-C-A-B,NE-C-A,NE-C,NE,9,12,1488,Commercial,102222,297,246,0.1
NE-C-B-A,NE-C-B,NE-C,NE,10,12,0,Commercial,52400,0,118,0.03
NE-C-B-B,NE-C-B,NE-C,NE,11,12,2846,Mixed,87206,1138,149,0.105
NE-D-A-A,NE-D-A,NE-D,NE,12,12,1765,Commercial,106971,353,213,0.137
NE-D-A-B,NE-D-A,NE-D,NE,13,12,2623,Mixed,134706,1049,119,0.022
NE-D-B-A,NE-D-B,NE-D,NE,14,12,2529,Commercial,63074,505,69,0.032
NE-D-B-B,NE-D-B,NE-D,NE,15,12,3276,Commercial,108889,655,216,0.128
NW-C-A-C,NW-C-A,NW-C,NW,0,13,5126,Residential,89235,2050,28,0.044
NW-C-A-D,NW-C-A,NW-C,NW,1,13,3945,Mixed,61595,1578,84,0.14
NW-C-B-C,NW-C-B,NW-C,NW,2,13,4067,Residential,94586,1626,15,0.078
NW-C-B-D,NW-C-B,NW-C,NW,3,13,340,Park,72072,68,21,0.743
NW-D-A-C,NW-D-A,NW-D,NW,4,13,5517,Residential,75715,2206,38,0.046
NW-D-A-D,NW-D-A,NW-D,NW,5,13,4952,Mixed,82391,1980,75,0.058
NW-D-B-C,NW-D-B,NW-D,NW,6,13,4592,Residential,86403,1836,21,0.034
NW-D-B-D,NW-D-B,NW-D,NW,7,13,1855,Commercial,76594,371,147,0.084
NE-C-A-C,NE-C-A,NE-C,NE,8,13,3342,Commercial,106938,668,153,0.062
NE-C-A-D,NE-C-A,NE-C,NE,9,13,2219,Mixed,151073,887,41,0.143
NE-C-B-C,NE-C-B,NE-C,NE,10,13,4740,Commercial,98275,948,93,0.0
NE-C-B-D,NE-C-B,NE-C,NE,11,13,1162,Residential,88604,464,25,0.082
NE-D-A-C,NE-D-A,NE-D,NE,12,13,2841,Commercial,87930,568,139,0.166
NE-D-A-D,NE-D-A,NE-D,NE,13,13,1600,Commercial,68960,320,116,0.119
NE-D-B-C,NE-D-B,NE-D,NE,14,13,87,Park,106095,17,21,0.621
NE-D-B-D,NE-D-B,NE-D,NE,15,13,3682,Residential,104359,1472,13,0.081
NW-C-C-A,NW-C-C,NW-C,NW,0,14,4464,Commercial,68368,892,67,0.171
NW-C-C-B,NW-C-C,NW-C,NW,1,14,5635,Residential,87777,2254,12,0.101
NW-C-D-A,NW-C-D,NW-C,NW,2,14,4813,Mixed,73454,1925,102,0.116
NW-C-D-B,NW-C-D,NW-C,NW,3,14,3616,Residential,67026,1446,16,0.023
NW-D-C-A,NW-D-C,NW-D,NW,4,14,4472,Commercial,80040,894,191,0.004
NW-D-C-B,NW-D-C,NW-D,NW,5,14,3212,Industrial,89307,642,26,0.155
NW-D-D-A,NW-D-D,NW-D,NW,6,14,3363,Residential,59747,1345,34,0.025
NW-D-D-B,NW-D-D,NW-D,NW,7,14,4695,Mixed,76078,1878,90,0.036
NE-C-C-A,NE-C-C,NE-C,NE,8,14,283,Park,42301,56,23,0.652
NE-C-C-B,NE-C-C,NE-C,NE,9,14,223,Park,121138,44,24,0.71
NE-C-D-A,NE-C-D,NE-C,NE,10,14,2199,Commercial,107129,439,184,0.11
NE-C-D-B,NE-C-D,NE-C,NE,11,14,2130,Mixed,115141,852,222,0.058
NE-D-C-A,NE-D-C,NE-D,NE,12,14,3968,Commercial,112464,793,208,0.044
NE-D-C-B,NE-D-C,NE-D,NE,13,14,2154,Mixed,108564,861,103,0.176
NE-D-D-A,NE-D-D,NE-D,NE,14,14,1309,Mixed,89898,523,53,0.082
NE-D-D-B,NE-D-D,NE-D,NE,15,14,4566,Commercial,98746,913,135,0.046
NW-C-C-C,NW-C-C,NW-C,NW,0,15,4555,Residential,70155,1822,26,0.155
NW-C-C-D,NW-C-C,NW-C,NW,1,15,3684,Residential,71276,1473,32,0.144
NW-C-D-C,NW-C-D,NW-C,NW,2,15,5356,Industrial,71071,1071,24,0.07
NW-C-D-D,NW-C-D,NW-C,NW,3,15,2925,Residential,61045,1170,4,0.076
NW-D-C-C,NW-D-C,NW-D,NW,4,15,515,Park,64960,103,25,0.605
NW-D-C-D,NW-D-C,NW-D,NW,5,15,4546,Mixed,72742,1818,45,0.119
NW-D-D-C,NW-D-D,NW-D,NW,6,15,3081,Residential,53476,1232,6,0.099
NW-D-D-D,NW-D-D,NW-D,NW,7,15,4206,Commercial,81539,841,123,0.179
NE-C-C-C,NE-C-C,NE-C,NE,8,15,4271,Industrial,134479,854,4,0.057
NE-C-C-D,NE-C-C,NE-C,NE,9,15,4156,Residential,110352,1662,39,0.121
NE-C-D-C,NE-C-D,NE-C,NE,10,15,1483,Mixed,112518,593,229,0.075
NE-C-D-D,NE-C-D,NE-C,NE,11,15,3808,Mixed,132184,1523,210,0.088
NE-D-C-C,NE-D-C,NE-D,NE,12,15,2511,Mixed,97550,1004,231,0.028
NE-D-C-D,NE-D-C,NE-D,NE,13,15,3222,Residential,70284,1288,3,0.0
NE-D-D-C,NE-D-D,NE-D,NE,14,15,1900,Residential,89104,760,13,0.148
NE-D-D-D,NE-D-D,NE-D,NE,15,15,2681,Mixed,88902,1072,173,0.148
